Card,Seller,Price,Shipping,URL
"Lickitung","mythiccards_uk",17.95,2.7,"https://www.ebay.co.uk/itm/176882486501?_skw=Lickitung+180%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item292f048ce5:g:l6MAAOSweCZnwa9L"
"Bronzor","outh774",9.56,0.85,"https://www.ebay.co.uk/itm/335837084423?_skw=Bronzor+170%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item4e31733b07:g:yBgAAOSwnqlnwdBd"
"Durant ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405489966340?_skw=Durant+ex+004%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6915dd04:g:EEsAAOSwsaRnjmzR"
"Black Kyurem ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405489948539?_skw=Black+Kyurem+ex+048%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6915977b:g:L8cAAOSw~cNnjmsB"
"Palossand ex","parrisco_0",1,1.55,"https://www.ebay.co.uk/itm/405486063743?_skw=Palossand+ex+091%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e68da507f:g:ZqEAAOSw~iBni68L"
"Amulet of Hope","parrisco_0",1.1,1.55,"https://www.ebay.co.uk/itm/405479451955?_skw=Amulet+of+Hope+162%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e68756d33:g:HE4AAOSwmf9nh85E"
"Lapras ex","parrisco_0",1.5,1.55,"https://www.ebay.co.uk/itm/405484514330?_skw=Lapras+ex+032%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e68c2ac1a:g:z6kAAOSwrlBniphF"
"Greninja ex","parrisco_0",1,1.55,"https://www.ebay.co.uk/itm/405486071920?_skw=Greninja+ex+041%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e68da7070:g:YI4AAOSwva1ni7Bs"
"Terapagos ex","parrisco_0",3.5,2.7,"https://www.ebay.co.uk/itm/405555868803?_skw=Terapagos+ex+128%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6d037483:g:ilwAAeSwQNVnsxxD"
"Wugtrio ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405479591918?_skw=Wugtrio+ex+060%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e68778fee:g:RuIAAOSwRTVnh98d"
"Farigiraf ex","parrisco_0",1,1.55,"https://www.ebay.co.uk/itm/405499207886?_skw=Farigiraf+ex+108%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e69a2e0ce:g:QH4AAOSwWT9nk5ap"
"Snom","parrisco_0",5,2.7,"https://www.ebay.co.uk/itm/405572056249?_skw=Snom+168%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6dfa74b9:g:dq8AAeSwn01nulIU"
"Maximum Belt","petecollects",2.5,0.85,"https://www.ebay.co.uk/itm/256819878258?_skw=Maximum+Belt+154%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item3bcba85972:g:5QwAAeSwhYlnshap"
"Gengar ex","pnagaming_ltd",3.25,1.55,"https://www.ebay.co.uk/itm/135582258794?_skw=Gengar+ex+104%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item1f9155166a:g:kekAAOSwcnhnvyls"
"Drampa","pokedee",9,2.8,"https://www.ebay.co.uk/itm/156727091703?_skw=Drampa+184%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item247da9a1f7:g:h8EAAeSwZbhnuk~v"
"Turtonator","pokemontcgsale",4.35,2.7,"https://www.ebay.co.uk/itm/316121467713?_skw=Turtonator+146%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item499a4ecb41:g:pYgAAOSwneJngHH7"
"Galvantula ex","pokesupa",19.99,0,"https://www.ebay.co.uk/itm/286093461881?_skw=Galvantula+ex+168%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item429c7fc979:g:6I8AAOSwQkVnAQ8Z"
"Arbok","pokesupa",19.99,0,"https://www.ebay.co.uk/itm/285798641921?_skw=Arbok+176%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item428aed3101:g:QE0AAOSwRjpmDvat"
"Pikachu ex","poki6834",4.88,3,"https://www.ebay.co.uk/itm/365383836716?_skw=Pikachu+ex+057%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item551292e42c:g:JzsAAOSwh6Znpgtr"
"Relicanth","projectguitar",7.99,0.85,"https://www.ebay.co.uk/itm/205313247003?_skw=Relicanth+173%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item2fcd9f871b:g:hzcAAeSwjSJnvJh5"
"Brilliant Blender","rangesofcardsales",3.32,1.5,"https://www.ebay.co.uk/itm/167322797082?_skw=Brilliant+Blender+164%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item26f537441a:g:9BYAAeSwhjlns53S"
"Briar","rarepokemontreasures",3.61,0.85,"https://www.ebay.co.uk/itm/387993786363?_skw=Briar+163%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5a563b57fb:g:7x0AAeSwXWVnvNLM"
"Neo Upper Energy","ri5hard",2.28,0.85,"https://www.ebay.co.uk/itm/167330176854?_skw=Neo+Upper+Energy+162%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item26f5a7df56:g:LbAAAeSwKR9nt-Ig"
"Hydreigon ex","rstillwell",1.75,1.85,"https://www.ebay.co.uk/itm/256824250936?_skw=Hydreigon+ex+119%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item3bcbeb1238:g:kCEAAeSwFjJnthUM"
"Gastly","ryan-277",42.32,2.7,"https://www.ebay.co.uk/itm/316363338164?_skw=Gastly+177%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item49a8b971b4:g:5hQAAOSwb01nulAb"
"Reuniclus","simonboff10",9,0.85,"https://www.ebay.co.uk/itm/235982579313?_skw=Reuniclus+171%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item36f1a86671:g:ykYAAeSwIKFnwZo4"
"Prime Catcher","simoquin74",2.8,2.55,"https://www.ebay.co.uk/itm/286288514709?_skw=Prime+Catcher+157%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item42a8200e95:g:ClYAAOSwx7RnmKvM"
"Milcery","sm-pokestop",5.92,2.7,"https://www.ebay.co.uk/itm/405592772990?_skw=Milcery+152%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6f36917e:g:5HYAAOSwGDFnwh8Y"
"Dachsbun ex","spear_pillar_games",28,0,"https://www.ebay.co.uk/itm/146223886222?_skw=Dachsbun+ex+169%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item220b9f6f8e:g:I1gAAOSwfXNnRh7Y"
"Archaludon","thelittecollector",3.34,2.7,"https://www.ebay.co.uk/itm/335779425434?_skw=Archaludon+155%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item4e2e036c9a:g:XIIAAOSwC21nj~~3"
"Sylveon ex","tridentcards",2.69,1.99,"https://www.ebay.co.uk/itm/306075096675?_skw=Sylveon+ex+086%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item47437f5663:i:306075096675"
"Archaludon ex","ukmarc_gelen3",1.99,2.69,"https://www.ebay.co.uk/itm/326448676565?_skw=Archaludon+ex+130%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item4c01db7ed5:g:GzQAAeSwKsNnqPXD"
"Cutiefly","vaultrixgames",3.1,2.7,"https://www.ebay.co.uk/itm/116455025200?_skw=Cutiefly+172%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item1b1d42aa30:g:u9MAAOSwuNBnkjzh"
